Alfa Romeo,1950,85.71
Alfa Romeo,1951,55.56
Ferrari,1952,87.50
Ferrari,1953,77.78
Mercedes,1954,44.44
Mercedes,1955,71.43
Ferrari,1956,66.67
Maserati,1957,44.44
Vanwall,1957,44.44
Vanwall,1958,54.55
Cooper-Climax,1959,55.56
Cooper-Climax,1960,60.00
Ferrari,1961,62.50
BRM,1962,44.44
Lotus-Climax,1963,70.00
Ferrari,1964,30.00
Lotus-Climax,1964,30.00
Lotus-Climax,1965,60.00
Brabham-Repco,1966,44.44
Brabham-Repco,1967,36.36
Lotus-Ford,1967,36.36
Lotus-Ford,1968,41.67
Matra-Ford,1969,54.55
Team Lotus,1970,46.15
Tyrrell,1971,63.64
Team Lotus,1972,41.67
Team Lotus,1973,46.67
McLaren,1974,26.67
Ferrari,1975,42.86
McLaren,1976,37.50
Ferrari,1976,37.50
Team Lotus,1977,29.41
Team Lotus,1978,50.00
Ferrari,1979,40.00
Williams,1980,42.86
Williams,1981,26.67
McLaren,1982,25.00
Renault,1982,25.00
Brabham,1983,26.67
Ferrari,1983,26.67
Renault,1983,26.67
McLaren,1984,75.00
McLaren,1985,37.50
Williams,1986,56.25
Williams,1987,56.25
McLaren,1988,93.75
McLaren,1989,62.50
Ferrari,1990,37.50
McLaren,1990,37.50
McLaren,1991,50.00
Williams,1992,62.50
Williams,1993,62.50
Benetton,1994,50.00
Benetton,1995,64.71
Williams,1996,75.00
Williams,1997,47.06
McLaren,1998,56.25
McLaren,1999,43.75
Ferrari,2000,58.82
Ferrari,2001,52.94
Ferrari,2002,88.24
Ferrari,2003,50.00
Ferrari,2004,83.33
McLaren,2005,52.63
Ferrari,2006,50.00
Ferrari,2007,52.94
Ferrari,2008,44.44
Brawn,2009,47.06
Red Bull,2010,47.37
Red Bull,2011,63.16
Red Bull,2012,35.00
McLaren,2012,35.00
Red Bull,2013,68.42
Mercedes,2014,84.21
Mercedes,2015,84.21
Mercedes,2016,90.48
Mercedes,2017,60.00
Mercedes,2018,52.38
Mercedes,2019,71.43
Mercedes,2020,76.47
Red Bull,2021,50.00
Red Bull,2022,77.27
Red Bull,2023,100.00
